Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id,Gls/90,Ast/90,TklW/90,Int/90,TklWInt/90,primary_pos,secondary_pos
Jacob Bruun Larsen,dk DEN,MFFW,Burnley,26,1998,28,10,1030,11.4,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,4e204552,11.4,0,17,4,23.5,1.4912280701754386,0.35,0.0,0.0,0,0,4e204552,11.4,,,,,,,,,,,,,,,1,,,,,,4e204552,11.4,,,,,,,,,,,,,,,,,,,,,4e204552,11.4,,3,,,,,,,,,,,6,,,,4e204552,Jacob Bruun Larsen__Burnley,0.0,0.08771929824561403,0.2631578947368421,0.5263157894736842,0.7894736842105263,MF,FW
Emi Buendía,ar ARG,MF,Aston Villa,28,1996,36,21,1755,19.5,6,2,8,6,0,0,6,0,0.31,0.1,0.41,0.31,0.41,66b76d44,19.5,6,49,13,26.5,2.5128205128205128,0.67,0.12,0.46,0,0,66b76d44,19.5,,,,,,,,,,,,,,,2,,,,,,66b76d44,19.5,,,,,,,,,,,,,,,,,,,,,66b76d44,19.5,,27,,,,,,,,,,,13,,,,66b76d44,Emi Buendía__Aston Villa,0.3076923076923077,0.10256410256410256,1.3846153846153846,0.6666666666666666,2.051282051282051,MF,
Hugo Bueno,es ESP,MFDF,Wolves,22,2002,35,26,2366,26.3,1,2,3,1,0,0,3,0,0.04,0.08,0.11,0.04,0.11,bfc3b3a0,26.3,1,16,6,37.5,0.6083650190114068,0.23,0.06,0.17,0,0,bfc3b3a0,26.3,,,,,,,,,,,,,,,2,,,,,,bfc3b3a0,26.3,,,,,,,,,,,,,,,,,,,,,bfc3b3a0,26.3,,35,,,,,,,,,,,33,,,,bfc3b3a0,Hugo Bueno__Wolves,0.03802281368821293,0.07604562737642585,1.3307984790874525,1.2547528517110267,2.585551330798479,MF,DF
Santiago Bueno,uy URU,DF,Wolves,26,1998,29,28,2553,28.4,3,1,4,3,0,0,4,0,0.11,0.04,0.14,0.11,0.14,edc98fac,28.4,3,10,7,70.0,0.35211267605633806,0.25,0.3,0.43,0,0,edc98fac,28.4,,,,,,,,,,,,,,,1,,,,,,edc98fac,28.4,,,,,,,,,,,,,,,,,,,,,edc98fac,28.4,,30,,,,,,,,,,,27,,,,edc98fac,Santiago Bueno__Wolves,0.10563380281690142,0.035211267605633804,1.0563380281690142,0.9507042253521127,2.007042253521127,DF,
Dan Burn,eng ENG,DF,Newcastle,33,1992,29,25,2199,24.4,1,2,3,1,0,0,11,1,0.04,0.08,0.12,0.04,0.12,b2d31e83,24.4,1,10,3,30.0,0.4098360655737705,0.12,0.1,0.33,0,0,b2d31e83,24.4,,,,,,,,,,,,,,,2,,,,,,b2d31e83,24.4,,,,,,,,,,,,,,,,,,,,,b2d31e83,24.4,,26,,,,,,,,,,,20,,,,b2d31e83,Dan Burn__Newcastle,0.04098360655737705,0.0819672131147541,1.0655737704918034,0.819672131147541,1.8852459016393444,DF,
Moisés Caicedo,ec ECU,MF,Chelsea,23,2001,33,32,2795,31.1,3,1,4,3,0,0,11,1,0.1,0.03,0.13,0.1,0.13,16264a81,31.1,3,27,7,25.9,0.8681672025723473,0.23,0.11,0.43,0,0,16264a81,31.1,,,,,,,,,,,,,,,1,,,,,,16264a81,31.1,,,,,,,,,,,,,,,,,,,,,16264a81,31.1,,47,,,,,,,,,,,59,,,,16264a81,Moisés Caicedo__Chelsea,0.09646302250803858,0.03215434083601286,1.5112540192926045,1.8971061093247588,3.408360128617363,MF,
Tom Cairney,sct SCO,MF,Fulham,34,1991,24,6,775,8.6,2,0,2,2,0,0,3,0,0.23,0.0,0.23,0.23,0.23,a8748947,8.6,2,17,2,11.8,1.9767441860465118,0.23,0.12,1.0,0,0,a8748947,8.6,,,,,,,,,,,,,,,0,,,,,,a8748947,8.6,,,,,,,,,,,,,,,,,,,,,a8748947,8.6,,4,,,,,,,,,,,4,,,,a8748947,Tom Cairney__Fulham,0.23255813953488372,0.0,0.46511627906976744,0.46511627906976744,0.9302325581395349,MF,
Riccardo Calafiori,it ITA,DF,Arsenal,23,2002,26,22,1699,18.9,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,aded8e6f,18.9,1,32,8,25.0,1.6931216931216932,0.42,0.03,0.13,0,0,aded8e6f,18.9,,,,,,,,,,,,,,,2,,,,,,aded8e6f,18.9,,,,,,,,,,,,,,,,,,,,,aded8e6f,18.9,,19,,,,,,,,,,,13,,,,aded8e6f,Riccardo Calafiori__Arsenal,0.052910052910052914,0.10582010582010583,1.0052910052910053,0.6878306878306879,1.6931216931216932,DF,
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,28,1997,35,30,2721,30.2,14,1,15,10,4,5,3,0,0.46,0.03,0.5,0.33,0.36,59e6e5bf,30.2,14,73,34,46.6,2.4172185430463577,1.12,0.19,0.41,4,5,59e6e5bf,30.2,,,,,,,,,,,,,,,1,,,,,,59e6e5bf,30.2,,,,,,,,,,,,,,,,,,,,,59e6e5bf,30.2,,4,,,,,,,,,,,5,,,,59e6e5bf,Dominic Calvert-Lewin__Leeds United,0.4635761589403974,0.033112582781456956,0.13245033112582782,0.16556291390728478,0.2980132450331126,FW,
Jaydee Canvot,fr FRA,DF,Crystal Palace,19,2006,20,14,1336,14.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,3684108d,14.8,0,7,1,14.3,0.47297297297297297,0.07,0.0,0.0,0,0,3684108d,14.8,,,,,,,,,,,,,,,0,,,,,,3684108d,14.8,,,,,,,,,,,,,,,,,,,,,3684108d,14.8,,22,,,,,,,,,,,12,,,,3684108d,Jaydee Canvot__Crystal Palace,0.0,0.0,1.4864864864864864,0.8108108108108107,2.2972972972972974,DF,
Casemiro,br BRA,MF,Manchester Utd,33,1992,34,33,2571,28.6,9,2,11,9,0,0,11,1,0.32,0.07,0.39,0.32,0.39,4d224fe8,28.6,9,52,18,34.6,1.8181818181818181,0.63,0.17,0.5,0,0,4d224fe8,28.6,,,,,,,,,,,,,,,2,,,,,,4d224fe8,28.6,,,,,,,,,,,,,,,,,,,,,4d224fe8,28.6,,45,,,,,,,,,,,30,,,,4d224fe8,Casemiro__Manchester Utd,0.3146853146853147,0.06993006993006992,1.5734265734265733,1.048951048951049,2.622377622377622,MF,
Matty Cash,pl POL,DF,Aston Villa,27,1997,35,34,3014,33.5,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18,2389cdc2,33.5,3,30,10,33.3,0.8955223880597015,0.3,0.1,0.3,0,0,2389cdc2,33.5,,,,,,,,,,,,,,,3,,,,,,2389cdc2,33.5,,,,,,,,,,,,,,,,,,,,,2389cdc2,33.5,,32,,,,,,,,,,,24,,,,2389cdc2,Matty Cash__Aston Villa,0.08955223880597014,0.08955223880597014,0.9552238805970149,0.7164179104477612,1.671641791044776,DF,
Timothy Castagne,be BEL,DFMF,Fulham,29,1995,30,20,1845,20.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,197640fd,20.5,0,14,6,42.9,0.6829268292682927,0.29,0.0,0.0,0,0,197640fd,20.5,,,,,,,,,,,,,,,0,,,,,,197640fd,20.5,,,,,,,,,,,,,,,,,,,,,197640fd,20.5,,24,,,,,,,,,,,28,,,,197640fd,Timothy Castagne__Fulham,0.0,0.0,1.170731707317073,1.3658536585365855,2.5365853658536586,DF,MF
Valentín Castellanos,ar ARG,FW,West Ham,26,1998,18,17,1384,15.4,6,0,6,6,0,0,6,0,0.39,0.0,0.39,0.39,0.39,da76bab4,15.4,6,50,22,44.0,3.2467532467532467,1.43,0.12,0.27,0,0,da76bab4,15.4,,,,,,,,,,,,,,,0,,,,,,da76bab4,15.4,,,,,,,,,,,,,,,,,,,,,da76bab4,15.4,,9,,,,,,,,,,,6,,,,da76bab4,Valentín Castellanos__West Ham,0.38961038961038963,0.0,0.5844155844155844,0.38961038961038963,0.974025974025974,FW,
Trevoh Chalobah,eng ENG,DF,Chelsea,26,1999,34,31,2783,30.9,3,0,3,3,0,0,3,1,0.1,0.0,0.1,0.1,0.1,5515376c,30.9,3,16,5,31.3,0.5177993527508091,0.16,0.19,0.6,0,0,5515376c,30.9,,,,,,,,,,,,,,,0,,,,,,5515376c,30.9,,,,,,,,,,,,,,,,,,,,,5515376c,30.9,,22,,,,,,,,,,,37,,,,5515376c,Trevoh Chalobah__Chelsea,0.0970873786407767,0.0,0.7119741100323624,1.197411003236246,1.9093851132686086,DF,
Rayan Cherki,fr FRA,MF,Manchester City,21,2003,33,19,1786,19.8,4,12,16,4,0,0,1,0,0.2,0.6,0.81,0.2,0.81,b34c63a5,19.8,4,55,13,23.6,2.7777777777777777,0.66,0.07,0.31,0,0,b34c63a5,19.8,,,,,,,,,,,,,,,12,,,,,,b34c63a5,19.8,,,,,,,,,,,,,,,,,,,,,b34c63a5,19.8,,16,,,,,,,,,,,7,,,,b34c63a5,Rayan Cherki__Manchester City,0.20202020202020202,0.6060606060606061,0.8080808080808081,0.35353535353535354,1.1616161616161615,MF,
Ryan Christie,sct SCO,MF,Bournemouth,30,1995,26,9,994,11.0,2,0,2,2,0,0,3,1,0.18,0.0,0.18,0.18,0.18,26ce2263,11.0,2,25,8,32.0,2.272727272727273,0.72,0.08,0.25,0,0,26ce2263,11.0,,,,,,,,,,,,,,,0,,,,,,26ce2263,11.0,,,,,,,,,,,,,,,,,,,,,26ce2263,11.0,,20,,,,,,,,,,,11,,,,26ce2263,Ryan Christie__Bournemouth,0.18181818181818182,0.0,1.8181818181818181,1.0,2.8181818181818183,MF,
Samuel Chukwueze,ng NGA,MF,Fulham,26,1999,23,10,1079,12.0,3,4,7,3,0,0,0,0,0.25,0.33,0.58,0.25,0.58,b8a642fc,12.0,3,25,7,28.0,2.0833333333333335,0.58,0.12,0.43,0,0,b8a642fc,12.0,,,,,,,,,,,,,,,4,,,,,,b8a642fc,12.0,,,,,,,,,,,,,,,,,,,,,b8a642fc,12.0,,4,,,,,,,,,,,6,,,,b8a642fc,Samuel Chukwueze__Fulham,0.25,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,MF,
Nathan Collins,ie IRL,DF,Brentford,24,2001,35,32,2975,33.1,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,a8c19eb8,33.1,1,20,6,30.0,0.6042296072507553,0.18,0.05,0.17,0,0,a8c19eb8,33.1,,,,,,,,,,,,,,,2,,,,,,a8c19eb8,33.1,,,,,,,,,,,,,,,,,,,,,a8c19eb8,33.1,,13,,,,,,,,,,,36,,,,a8c19eb8,Nathan Collins__Brentford,0.030211480362537763,0.060422960725075525,0.39274924471299094,1.0876132930513596,1.4803625377643503,DF,
Lewis Cook,eng ENG,MFDF,Bournemouth,28,1997,18,8,874,9.7,0,1,1,0,0,0,1,1,0.0,0.1,0.1,0.0,0.1,2afc7272,9.7,0,3,0,0.0,0.30927835051546393,0.0,0.0,0.0,0,0,2afc7272,9.7,,,,,,,,,,,,,,,1,,,,,,2afc7272,9.7,,,,,,,,,,,,,,,,,,,,,2afc7272,9.7,,17,,,,,,,,,,,21,,,,2afc7272,Lewis Cook__Bournemouth,0.0,0.10309278350515465,1.752577319587629,2.1649484536082477,3.9175257731958766,MF,DF
Marc Cucurella,es ESP,DF,Chelsea,27,1998,34,31,2707,30.1,1,4,5,1,0,0,8,1,0.03,0.13,0.17,0.03,0.17,1daec722,30.1,1,20,6,30.0,0.6644518272425249,0.2,0.05,0.17,0,0,1daec722,30.1,,,,,,,,,,,,,,,4,,,,,,1daec722,30.1,,,,,,,,,,,,,,,,,,,,,1daec722,30.1,,40,,,,,,,,,,,28,,,,1daec722,Marc Cucurella__Chelsea,0.03322259136212624,0.13289036544850497,1.3289036544850499,0.9302325581395349,2.2591362126245844,DF,
Jorge Cuenca,es ESP,DF,Fulham,25,1999,15,11,938,10.4,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0abc51f2,10.4,0,1,0,0.0,0.09615384615384615,0.0,0.0,0.0,0,0,0abc51f2,10.4,,,,,,,,,,,,,,,0,,,,,,0abc51f2,10.4,,,,,,,,,,,,,,,,,,,,,0abc51f2,10.4,,10,,,,,,,,,,,15,,,,0abc51f2,Jorge Cuenca__Fulham,0.0,0.0,0.9615384615384615,1.4423076923076923,2.4038461538461537,DF,
Josh Cullen,ie IRL,MF,Burnley,29,1996,18,18,1514,16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,f6d7d690,16.8,2,11,6,54.5,0.6547619047619048,0.36,0.18,0.33,0,0,f6d7d690,16.8,,,,,,,,,,,,,,,2,,,,,,f6d7d690,16.8,,,,,,,,,,,,,,,,,,,,,f6d7d690,16.8,,19,,,,,,,,,,,24,,,,f6d7d690,Josh Cullen__Burnley,0.11904761904761904,0.11904761904761904,1.130952380952381,1.4285714285714286,2.5595238095238093,MF,
Matheus Cunha,br BRA,MFFW,Manchester Utd,26,1999,33,29,2494,27.7,10,2,12,10,0,0,4,0,0.36,0.07,0.43,0.36,0.43,dc62b55d,27.7,10,90,35,38.9,3.2490974729241877,1.26,0.11,0.29,0,0,dc62b55d,27.7,,,,,,,,,,,,,,,2,,,,,,dc62b55d,27.7,,,,,,,,,,,,,,,,,,,,,dc62b55d,27.7,,23,,,,,,,,,,,21,,,,dc62b55d,Matheus Cunha__Manchester Utd,0.36101083032490977,0.07220216606498195,0.8303249097472925,0.7581227436823105,1.588447653429603,MF,FW
Diogo Dalot,pt POR,DFMF,Manchester Utd,26,1999,34,29,2614,29.0,1,3,4,1,0,0,5,0,0.03,0.1,0.14,0.03,0.14,d9565625,29.0,1,24,6,25.0,0.8275862068965517,0.21,0.04,0.17,0,0,d9565625,29.0,,,,,,,,,,,,,,,3,,,,,,d9565625,29.0,,,,,,,,,,,,,,,,,,,,,d9565625,29.0,,30,,,,,,,,,,,26,,,,d9565625,Diogo Dalot__Manchester Utd,0.034482758620689655,0.10344827586206896,1.0344827586206897,0.896551724137931,1.9310344827586208,DF,MF
Mikkel Damsgaard,dk DEN,MF,Brentford,25,2000,33,24,2054,22.8,4,4,8,4,0,0,0,0,0.18,0.18,0.35,0.18,0.35,215f3907,22.8,4,29,11,37.9,1.2719298245614035,0.48,0.14,0.36,0,0,215f3907,22.8,,,,,,,,,,,,,,,4,,,,,,215f3907,22.8,,,,,,,,,,,,,,,,,,,,,215f3907,22.8,,34,,,,,,,,,,,24,,,,215f3907,Mikkel Damsgaard__Brentford,0.17543859649122806,0.17543859649122806,1.4912280701754386,1.0526315789473684,2.543859649122807,MF,
Kevin Danso,at AUT,DF,Tottenham,26,1998,24,17,1494,16.6,0,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,6e33125f,16.6,0,11,2,18.2,0.6626506024096385,0.12,0.0,0.0,0,0,6e33125f,16.6,,,,,,,,,,,,,,,0,,,,,,6e33125f,16.6,,,,,,,,,,,,,,,,,,,,,6e33125f,16.6,,13,,,,,,,,,,,25,,,,6e33125f,Kevin Danso__Tottenham,0.0,0.0,0.7831325301204819,1.506024096385542,2.2891566265060237,DF,
Maxim De Cuyper,be BEL,DFMF,Brighton,24,2000,30,17,1414,15.7,2,3,5,2,0,0,2,0,0.13,0.19,0.32,0.13,0.32,d494882e,15.7,2,13,6,46.2,0.8280254777070064,0.38,0.15,0.33,0,0,d494882e,15.7,,,,,,,,,,,,,,,3,,,,,,d494882e,15.7,,,,,,,,,,,,,,,,,,,,,d494882e,15.7,,10,,,,,,,,,,,11,,,,d494882e,Maxim De Cuyper__Brighton,0.12738853503184713,0.1910828025477707,0.6369426751592357,0.7006369426751593,1.337579617834395,DF,MF
Liam Delap,eng ENG,FW,Chelsea,22,2003,28,12,1107,12.3,1,0,1,1,0,0,4,0,0.08,0.0,0.08,0.08,0.08,dd897ee7,12.3,1,36,11,30.6,2.926829268292683,0.89,0.03,0.09,0,0,dd897ee7,12.3,,,,,,,,,,,,,,,0,,,,,,dd897ee7,12.3,,,,,,,,,,,,,,,,,,,,,dd897ee7,12.3,,3,,,,,,,,,,,1,,,,dd897ee7,Liam Delap__Chelsea,0.08130081300813008,0.0,0.24390243902439024,0.08130081300813008,0.3252032520325203,FW,
Sepp van den Berg,nl NED,DF,Brentford,23,2001,32,30,2763,30.7,0,2,2,0,0,0,2,0,0.0,0.07,0.07,0.0,0.07,7bf9400b,30.7,0,23,7,30.4,0.749185667752443,0.23,0.0,0.0,0,0,7bf9400b,30.7,,,,,,,,,,,,,,,2,,,,,,7bf9400b,30.7,,,,,,,,,,,,,,,,,,,,,7bf9400b,30.7,,9,,,,,,,,,,,26,,,,7bf9400b,Sepp van den Berg__Brentford,0.0,0.06514657980456026,0.2931596091205212,0.8469055374592834,1.1400651465798046,DF,
Justin Devenny,nir NIR,MFFW,Crystal Palace,21,2003,21,7,796,8.8,1,0,1,0,1,1,0,0,0.11,0.0,0.11,0.0,0.0,6c2b66fc,8.8,1,13,4,30.8,1.477272727272727,0.45,0.08,0.25,1,1,6c2b66fc,8.8,,,,,,,,,,,,,,,0,,,,,,6c2b66fc,8.8,,,,,,,,,,,,,,,,,,,,,6c2b66fc,8.8,,11,,,,,,,,,,,1,,,,6c2b66fc,Justin Devenny__Crystal Palace,0.11363636363636363,0.0,1.25,0.11363636363636363,1.3636363636363635,MF,FW
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,26,1998,31,30,2626,29.2,8,4,12,8,0,0,6,0,0.27,0.14,0.41,0.27,0.41,5c74c0f5,29.2,8,39,15,38.5,1.3356164383561644,0.51,0.21,0.53,0,0,5c74c0f5,29.2,,,,,,,,,,,,,,,4,,,,,,5c74c0f5,29.2,,,,,,,,,,,,,,,,,,,,,5c74c0f5,29.2,,26,,,,,,,,,,,14,,,,5c74c0f5,Kiernan Dewsbury-Hall__Everton,0.273972602739726,0.136986301369863,0.8904109589041096,0.4794520547945206,1.36986301369863,MF,
Bafodé Diakité,fr FRA,DF,Bournemouth,24,2001,18,15,1277,14.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1bfb6fef,14.2,0,1,0,0.0,0.07042253521126761,0.0,0.0,0.0,0,0,1bfb6fef,14.2,,,,,,,,,,,,,,,0,,,,,,1bfb6fef,14.2,,,,,,,,,,,,,,,,,,,,,1bfb6fef,14.2,,15,,,,,,,,,,,10,,,,1bfb6fef,Bafodé Diakité__Bournemouth,0.0,0.0,1.0563380281690142,0.7042253521126761,1.7605633802816902,DF,
Amad Diallo,ci CIV,MF,Manchester Utd,23,2002,32,27,2341,26.0,2,3,5,2,0,0,2,0,0.08,0.12,0.19,0.08,0.19,9dc96f10,26.0,2,53,23,43.4,2.0384615384615383,0.88,0.04,0.09,0,0,9dc96f10,26.0,,,,,,,,,,,,,,,3,,,,,,9dc96f10,26.0,,,,,,,,,,,,,,,,,,,,,9dc96f10,26.0,,23,,,,,,,,,,,15,,,,9dc96f10,Amad Diallo__Manchester Utd,0.07692307692307693,0.11538461538461539,0.8846153846153846,0.5769230769230769,1.4615384615384615,MF,
Habib Diarra,sn SEN,MF,Sunderland,21,2004,20,15,1405,15.6,2,2,4,1,1,1,6,0,0.13,0.13,0.26,0.06,0.19,6d0fe035,15.6,2,26,8,30.8,1.6666666666666667,0.51,0.08,0.25,1,1,6d0fe035,15.6,,,,,,,,,,,,,,,2,,,,,,6d0fe035,15.6,,,,,,,,,,,,,,,,,,,,,6d0fe035,15.6,,7,,,,,,,,,,,4,,,,6d0fe035,Habib Diarra__Sunderland,0.12820512820512822,0.12820512820512822,0.44871794871794873,0.25641025641025644,0.7051282051282052,MF,
Rúben Dias,pt POR,DF,Manchester City,28,1997,26,24,2141,23.8,2,0,2,2,0,0,3,0,0.08,0.0,0.08,0.08,0.08,31c69ef1,23.8,2,10,4,40.0,0.42016806722689076,0.17,0.2,0.5,0,0,31c69ef1,23.8,,,,,,,,,,,,,,,0,,,,,,31c69ef1,23.8,,,,,,,,,,,,,,,,,,,,,31c69ef1,23.8,,6,,,,,,,,,,,23,,,,31c69ef1,Rúben Dias__Manchester City,0.08403361344537814,0.0,0.25210084033613445,0.9663865546218487,1.218487394957983,DF,
Lucas Digne,fr FRA,DF,Aston Villa,32,1993,31,21,1852,20.6,0,6,6,0,0,0,3,0,0.0,0.29,0.29,0.0,0.29,1b84dbe1,20.6,0,14,5,35.7,0.6796116504854368,0.24,0.0,0.0,0,0,1b84dbe1,20.6,,,,,,,,,,,,,,,6,,,,,,1b84dbe1,20.6,,,,,,,,,,,,,,,,,,,,,1b84dbe1,20.6,,26,,,,,,,,,,,13,,,,1b84dbe1,Lucas Digne__Aston Villa,0.0,0.2912621359223301,1.262135922330097,0.6310679611650485,1.8932038834951455,DF,
Issa Diop,ma MAR,DF,Fulham,28,1997,13,8,816,9.1,1,0,1,1,0,0,2,0,0.11,0.0,0.11,0.11,0.11,a712ca2b,9.1,1,2,1,50.0,0.21978021978021978,0.11,0.5,1.0,0,0,a712ca2b,9.1,,,,,,,,,,,,,,,0,,,,,,a712ca2b,9.1,,,,,,,,,,,,,,,,,,,,,a712ca2b,9.1,,2,,,,,,,,,,,6,,,,a712ca2b,Issa Diop__Fulham,0.10989010989010989,0.0,0.21978021978021978,0.6593406593406593,0.8791208791208791,DF,
El Hadji Malick Diouf,sn SEN,DFMF,West Ham,20,2004,32,30,2707,30.1,0,5,5,0,0,0,6,0,0.0,0.17,0.17,0.0,0.17,bd5eb2e5,30.1,0,18,4,22.2,0.5980066445182723,0.13,0.0,0.0,0,0,bd5eb2e5,30.1,,,,,,,,,,,,,,,5,,,,,,bd5eb2e5,30.1,,,,,,,,,,,,,,,,,,,,,bd5eb2e5,30.1,,19,,,,,,,,,,,32,,,,bd5eb2e5,El Hadji Malick Diouf__West Ham,0.0,0.16611295681063123,0.6312292358803986,1.0631229235880397,1.6943521594684385,DF,MF
Axel Disasi,fr FRA,DF,West Ham,27,1998,14,14,1254,13.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ad82197c,13.9,0,5,3,60.0,0.3597122302158273,0.22,0.0,0.0,0,0,ad82197c,13.9,,,,,,,,,,,,,,,0,,,,,,ad82197c,13.9,,,,,,,,,,,,,,,,,,,,,ad82197c,13.9,,10,,,,,,,,,,,12,,,,ad82197c,Axel Disasi__West Ham,0.0,0.0,0.7194244604316546,0.8633093525179856,1.5827338129496402,DF,
Matt Doherty,ie IRL,DFMF,Wolves,33,1992,11,11,787,8.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,d557d734,8.7,0,3,0,0.0,0.3448275862068966,0.0,0.0,0.0,0,0,d557d734,8.7,,,,,,,,,,,,,,,0,,,,,,d557d734,8.7,,,,,,,,,,,,,,,,,,,,,d557d734,8.7,,8,,,,,,,,,,,7,,,,d557d734,Matt Doherty__Wolves,0.0,0.0,0.9195402298850576,0.8045977011494253,1.7241379310344829,DF,MF
Jeremy Doku,be BEL,MFFW,Manchester City,23,2002,30,19,1784,19.8,5,5,10,5,0,0,0,0,0.25,0.25,0.5,0.25,0.5,fffea3e5,19.8,5,39,15,38.5,1.9696969696969697,0.76,0.13,0.33,0,0,fffea3e5,19.8,,,,,,,,,,,,,,,5,,,,,,fffea3e5,19.8,,,,,,,,,,,,,,,,,,,,,fffea3e5,19.8,,16,,,,,,,,,,,12,,,,fffea3e5,Jeremy Doku__Manchester City,0.25252525252525254,0.25252525252525254,0.8080808080808081,0.6060606060606061,1.4141414141414141,MF,FW
Nicolás Domínguez,ar ARG,MF,Nottingham,27,1998,27,17,1175,13.1,1,1,2,1,0,0,3,0,0.08,0.08,0.15,0.08,0.15,20b3a502,13.1,1,18,5,27.8,1.3740458015267176,0.38,0.06,0.2,0,0,20b3a502,13.1,,,,,,,,,,,,,,,1,,,,,,20b3a502,13.1,,,,,,,,,,,,,,,,,,,,,20b3a502,13.1,,30,,,,,,,,,,,6,,,,20b3a502,Nicolás Domínguez__Nottingham,0.07633587786259542,0.07633587786259542,2.290076335877863,0.4580152671755725,2.7480916030534353,MF,
Patrick Dorgu,dk DEN,MF,Manchester Utd,20,2004,26,15,1449,16.1,4,4,8,4,0,0,5,0,0.25,0.25,0.5,0.25,0.5,e6536124,16.1,4,25,11,44.0,1.5527950310559004,0.68,0.16,0.36,0,0,e6536124,16.1,,,,,,,,,,,,,,,4,,,,,,e6536124,16.1,,,,,,,,,,,,,,,,,,,,,e6536124,16.1,,30,,,,,,,,,,,16,,,,e6536124,Patrick Dorgu__Manchester Utd,0.24844720496894407,0.24844720496894407,1.8633540372670805,0.9937888198757763,2.8571428571428568,MF,
Lewis Dunk,eng ENG,DF,Brighton,33,1991,33,31,2838,31.5,1,0,1,1,0,0,10,0,0.03,0.0,0.03,0.03,0.03,282f75f3,31.5,1,23,3,13.0,0.7301587301587301,0.1,0.04,0.33,0,0,282f75f3,31.5,,,,,,,,,,,,,,,0,,,,,,282f75f3,31.5,,,,,,,,,,,,,,,,,,,,,282f75f3,31.5,,22,,,,,,,,,,,30,,,,282f75f3,Lewis Dunk__Brighton,0.031746031746031744,0.0,0.6984126984126984,0.9523809523809523,1.6507936507936507,DF,
Marcus Edwards,eng ENG,MFFW,Burnley,26,1998,23,11,1067,11.9,1,3,4,1,0,0,0,0,0.08,0.25,0.34,0.08,0.34,57760e66,11.9,1,23,6,26.1,1.9327731092436975,0.51,0.04,0.17,0,0,57760e66,11.9,,,,,,,,,,,,,,,3,,,,,,57760e66,11.9,,,,,,,,,,,,,,,,,,,,,57760e66,11.9,,6,,,,,,,,,,,3,,,,57760e66,Marcus Edwards__Burnley,0.08403361344537814,0.25210084033613445,0.5042016806722689,0.25210084033613445,0.7563025210084033,MF,FW
Hjalmar Ekdal,se SWE,DF,Burnley,26,1998,19,17,1539,17.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3d554589,17.1,0,6,1,16.7,0.3508771929824561,0.06,0.0,0.0,0,0,3d554589,17.1,,,,,,,,,,,,,,,0,,,,,,3d554589,17.1,,,,,,,,,,,,,,,,,,,,,3d554589,17.1,,17,,,,,,,,,,,12,,,,3d554589,Hjalmar Ekdal__Burnley,0.0,0.0,0.9941520467836257,0.7017543859649122,1.6959064327485378,DF,
