stint_id,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,Gls/90,Ast/90,TklW/90,Int/90,TklWInt/90,primary_pos,secondary_pos,cluster,pca_x,pca_y
Tolu Arokodare__Wolves,Tolu Arokodare,ng NGA,FW,Wolves,24,2000,33,13,1419,15.8,3,1,4,3,0,1,1,0,0.19,0.06,0.25,0.19,0.25,a42760bc,15.8,3,46,16,34.8,2.911392405063291,1.01,0.07,0.19,0,1,a42760bc,15.8,,,,,,,,,,,,,,,1,,,,,,a42760bc,15.8,,,,,,,,,,,,,,,,,,,,,a42760bc,15.8,,4,,,,,,,,,,,5,,,,a42760bc,0.1898734177215189,0.0632911392405063,0.2531645569620253,0.3164556962025316,0.5696202531645569,FW,,1,2.23969799782524,-1.6865891951728929
Yasin Ayari__Brighton,Yasin Ayari,se SWE,MF,Brighton,21,2003,29,20,1929,21.4,3,3,6,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28,f173303a,21.4,3,41,10,24.4,1.9158878504672896,0.47,0.07,0.3,0,0,f173303a,21.4,,,,,,,,,,,,,,,3,,,,,,f173303a,21.4,,,,,,,,,,,,,,,,,,,,,f173303a,21.4,,25,,,,,,,,,,,26,,,,f173303a,0.1401869158878504,0.1401869158878504,1.1682242990654206,1.2149532710280375,2.383177570093458,MF,,3,-0.564222951463014,0.3338572658781295
Carlos Baleba__Brighton,Carlos Baleba,cm CMR,MF,Brighton,21,2004,31,23,1652,18.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,a1390d2f,18.4,0,20,2,10.0,1.0869565217391306,0.11,0.0,0.0,0,0,a1390d2f,18.4,,,,,,,,,,,,,,,0,,,,,,a1390d2f,18.4,,,,,,,,,,,,,,,,,,,,,a1390d2f,18.4,,21,,,,,,,,,,,28,,,,a1390d2f,0.0,0.0,1.1413043478260871,1.5217391304347827,2.6630434782608696,MF,,0,-2.7869717244799412,-0.45398877845958385
Daniel Ballard__Sunderland,Daniel Ballard,nir NIR,DF,Sunderland,25,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0.0,0.08,0.08,0.08,38f300f3,23.9,2,26,9,34.6,1.087866108786611,0.38,0.08,0.22,0,0,38f300f3,23.9,,,,,,,,,,,,,,,0,,,,,,38f300f3,23.9,,,,,,,,,,,,,,,,,,,,,38f300f3,23.9,,17,,,,,,,,,,,20,,,,38f300f3,0.0836820083682008,0.0,0.7112970711297072,0.8368200836820084,1.5481171548117156,DF,,3,-0.08592904859737156,-0.1783265705710971
Ross Barkley__Aston Villa,Ross Barkley,eng ENG,MF,Aston Villa,31,1993,21,7,857,9.5,3,1,4,3,0,0,1,0,0.32,0.11,0.42,0.32,0.42,3a24769f,9.5,3,18,8,44.4,1.894736842105263,0.84,0.17,0.38,0,0,3a24769f,9.5,,,,,,,,,,,,,,,1,,,,,,3a24769f,9.5,,,,,,,,,,,,,,,,,,,,,3a24769f,9.5,,11,,,,,,,,,,,2,,,,3a24769f,0.3157894736842105,0.1052631578947368,1.1578947368421053,0.2105263157894736,1.368421052631579,MF,,2,2.11590916365278,0.6358730396978142
Harvey Barnes__Newcastle,Harvey Barnes,eng ENG,FWMF,Newcastle,27,1997,37,19,1966,21.8,7,1,8,7,0,0,1,0,0.32,0.05,0.37,0.32,0.37,3ea50f67,21.8,7,58,21,36.2,2.6605504587155964,0.96,0.12,0.33,0,0,3ea50f67,21.8,,,,,,,,,,,,,,,1,,,,,,3ea50f67,21.8,,,,,,,,,,,,,,,,,,,,,3ea50f67,21.8,,5,,,,,,,,,,,3,,,,3ea50f67,0.3211009174311926,0.0458715596330275,0.2293577981651376,0.1376146788990825,0.3669724770642201,FW,MF,2,3.1271500603138693,-1.052624184975505
Thierno Barry__Everton,Thierno Barry,fr FRA,FW,Everton,22,2002,38,21,1914,21.3,8,0,8,8,0,0,3,0,0.38,0.0,0.38,0.38,0.38,52c3244b,21.3,8,38,14,36.8,1.784037558685446,0.66,0.21,0.57,0,0,52c3244b,21.3,,,,,,,,,,,,,,,0,,,,,,52c3244b,21.3,,,,,,,,,,,,,,,,,,,,,52c3244b,21.3,,4,,,,,,,,,,,5,,,,52c3244b,0.3755868544600939,0.0,0.1877934272300469,0.2347417840375587,0.4225352112676056,FW,,2,3.400301033253626,0.39283617413263444
Calvin Bassey__Fulham,Calvin Bassey,ng NGA,DF,Fulham,25,1999,30,28,2534,28.2,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04,a36524bf,28.2,1,12,1,8.3,0.425531914893617,0.04,0.08,1.0,0,0,a36524bf,28.2,,,,,,,,,,,,,,,0,,,,,,a36524bf,28.2,,,,,,,,,,,,,,,,,,,,,a36524bf,28.2,,32,,,,,,,,,,,22,,,,a36524bf,0.0354609929078014,0.0,1.1347517730496457,0.7801418439716312,1.9148936170212767,DF,,3,-0.5735788249022776,1.525096813612315
Jean-Ricner Bellegarde__Wolves,Jean-Ricner Bellegarde,ht HAI,MFFW,Wolves,27,1998,26,15,1248,13.9,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,10f0fdd3,13.9,1,21,7,33.3,1.5107913669064748,0.5,0.05,0.14,0,0,10f0fdd3,13.9,,,,,,,,,,,,,,,1,,,,,,10f0fdd3,13.9,,,,,,,,,,,,,,,,,,,,,10f0fdd3,13.9,,15,,,,,,,,,,,9,,,,10f0fdd3,0.0719424460431654,0.0719424460431654,1.079136690647482,0.6474820143884892,1.7266187050359711,MF,FW,1,-0.24893253508959984,-0.5833350011725476
Rodrigo Bentancur__Tottenham,Rodrigo Bentancur,uy URU,MF,Tottenham,28,1997,26,23,1883,20.9,1,1,2,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,3b8674e6,20.9,1,13,3,23.1,0.6220095693779905,0.14,0.08,0.33,0,0,3b8674e6,20.9,,,,,,,,,,,,,,,1,,,,,,3b8674e6,20.9,,,,,,,,,,,,,,,,,,,,,3b8674e6,20.9,,36,,,,,,,,,,,36,,,,3b8674e6,0.0478468899521531,0.0478468899521531,1.722488038277512,1.722488038277512,3.444976076555024,MF,,0,-2.7662403869002348,1.9130586320648402
