Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id
Evann Guessand,ci CIV,MF,Aston Villa,24,2001,13,6,588,6.5,0,1,1,0,0,0,0,0,0.0,0.15,0.15,0.0,0.15,b73f17f8,6.5,0,8,5,62.5,1.22,0.77,0.0,0.0,0,0,b73f17f8,6.5,,,,,,,,,,,,,,,1,,,,,,b73f17f8,6.5,,,,,,,,,,,,,,,,,,,,,b73f17f8,6.5,,9,,,,,,,,,,,3,,,,b73f17f8,Evann Guessand__Aston Villa
Evann Guessand,ci CIV,MF,Crystal Palace,24,2001,8,3,330,3.7,1,1,2,1,0,0,0,0,0.27,0.27,0.55,0.27,0.55,b73f17f8,3.7,1,3,1,33.3,0.82,0.27,0.33,1.0,0,0,b73f17f8,3.7,,,,,,,,,,,,,,,1,,,,,,b73f17f8,3.7,,,,,,,,,,,,,,,,,,,,,b73f17f8,3.7,,2,,,,,,,,,,,2,,,,b73f17f8,Evann Guessand__Crystal Palace
Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,468a7a91,0.5,0,0,0,,0.0,0.0,,,0,0,468a7a91,0.5,,,,,,,,,,,,,,,0,,,,,,468a7a91,0.5,,,,,,,,,,,,,,,,,,,,,468a7a91,0.5,,0,,,,,,,,,,,0,,,,468a7a91,Facundo Buonanotte__Chelsea
Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,468a7a91,0.4,0,2,0,0.0,4.62,0.0,0.0,,0,0,468a7a91,0.4,,,,,,,,,,,,,,,0,,,,,,468a7a91,0.4,,,,,,,,,,,,,,,,,,,,,468a7a91,0.4,,0,,,,,,,,,,,1,,,,468a7a91,Facundo Buonanotte__Leeds United
Harvey Elliott,eng ENG,MF,Aston Villa,22,2003,4,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b9e1436c,1.2,0,5,0,0.0,4.02,0.0,0.0,,0,0,b9e1436c,1.2,,,,,,,,,,,,,,,0,,,,,,b9e1436c,1.2,,,,,,,,,,,,,,,,,,,,,b9e1436c,1.2,,0,,,,,,,,,,,0,,,,b9e1436c,Harvey Elliott__Aston Villa
Harvey Elliott,eng ENG,FWMF,Liverpool,22,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,b9e1436c,0.0,0,0,0,,0.0,0.0,,,0,0,b9e1436c,0.0,,,,,,,,,,,,,,,0,,,,,,b9e1436c,0.0,,,,,,,,,,,,,,,,,,,,,b9e1436c,0.0,,0,,,,,,,,,,,0,,,,b9e1436c,Harvey Elliott__Liverpool
James Ward-Prowse,eng ENG,MF,West Ham,30,1994,5,5,413,4.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3515d404,4.6,0,2,0,0.0,0.44,0.0,0.0,,0,0,3515d404,4.6,,,,,,,,,,,,,,,0,,,,,,3515d404,4.6,,,,,,,,,,,,,,,,,,,,,3515d404,4.6,,2,,,,,,,,,,,6,,,,3515d404,James Ward-Prowse__West Ham
James Ward-Prowse,eng ENG,MF,Burnley,30,1994,13,7,684,7.6,0,1,1,0,0,0,1,0,0.0,0.13,0.13,0.0,0.13,3515d404,7.6,0,3,2,66.7,0.39,0.26,0.0,0.0,0,0,3515d404,7.6,,,,,,,,,,,,,,,1,,,,,,3515d404,7.6,,,,,,,,,,,,,,,,,,,,,3515d404,7.6,,4,,,,,,,,,,,15,,,,3515d404,James Ward-Prowse__Burnley
Jørgen Strand Larsen,no NOR,FW,Wolves,25,2000,22,14,1404,15.6,1,1,2,0,1,2,2,0,0.06,0.06,0.13,0.0,0.06,f553b2b3,15.6,1,21,7,33.3,1.35,0.45,0.05,0.14,1,2,f553b2b3,15.6,,,,,,,,,,,,,,,1,,,,,,f553b2b3,15.6,,,,,,,,,,,,,,,,,,,,,f553b2b3,15.6,,2,,,,,,,,,,,3,,,,f553b2b3,Jørgen Strand Larsen__Wolves
Jørgen Strand Larsen,no NOR,FW,Crystal Palace,25,2000,14,12,903,10.0,3,0,3,3,0,0,2,0,0.3,0.0,0.3,0.3,0.3,f553b2b3,10.0,3,23,7,30.4,2.29,0.7,0.13,0.43,0,0,f553b2b3,10.0,,,,,,,,,,,,,,,0,,,,,,f553b2b3,10.0,,,,,,,,,,,,,,,,,,,,,f553b2b3,10.0,,0,,,,,,,,,,,1,,,,f553b2b3,Jørgen Strand Larsen__Crystal Palace
Marc Guiu,es ESP,FW,Sunderland,19,2006,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,d3d774cc,0.2,0,1,0,0.0,6.0,0.0,0.0,,0,0,d3d774cc,0.2,,,,,,,,,,,,,,,0,,,,,,d3d774cc,0.2,,,,,,,,,,,,,,,,,,,,,d3d774cc,0.2,,0,,,,,,,,,,,0,,,,d3d774cc,Marc Guiu__Sunderland
Marc Guiu,es ESP,FW,Chelsea,19,2006,8,1,257,2.9,0,1,1,0,0,0,1,0,0.0,0.35,0.35,0.0,0.35,d3d774cc,2.9,0,12,2,16.7,4.2,0.7,0.0,0.0,0,0,d3d774cc,2.9,,,,,,,,,,,,,,,1,,,,,,d3d774cc,2.9,,,,,,,,,,,,,,,,,,,,,d3d774cc,2.9,,0,,,,,,,,,,,0,,,,d3d774cc,Marc Guiu__Chelsea
Marc Guéhi,eng ENG,DF,Crystal Palace,25,2000,20,20,1800,20.0,2,2,4,2,0,0,4,0,0.1,0.1,0.2,0.1,0.2,d0706b27,20.0,2,15,4,26.7,0.75,0.2,0.13,0.5,0,0,d0706b27,20.0,,,,,,,,,,,,,,,2,,,,,,d0706b27,20.0,,,,,,,,,,,,,,,,,,,,,d0706b27,20.0,,19,,,,,,,,,,,24,,,,d0706b27,Marc Guéhi__Crystal Palace
Marc Guéhi,eng ENG,DF,Manchester City,25,2000,15,15,1350,15.0,1,1,2,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,d0706b27,15.0,1,17,5,29.4,1.13,0.33,0.06,0.2,0,0,d0706b27,15.0,,,,,,,,,,,,,,,1,,,,,,d0706b27,15.0,,,,,,,,,,,,,,,,,,,,,d0706b27,15.0,,12,,,,,,,,,,,25,,,,d0706b27,Marc Guéhi__Manchester City
Oscar Bobb,no NOR,MFFW,Manchester City,22,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,eed2427e,5.2,0,4,0,0.0,0.77,0.0,0.0,,0,0,eed2427e,5.2,,,,,,,,,,,,,,,1,,,,,,eed2427e,5.2,,,,,,,,,,,,,,,,,,,,,eed2427e,5.2,,5,,,,,,,,,,,3,,,,eed2427e,Oscar Bobb__Manchester City
Oscar Bobb,no NOR,MF,Fulham,22,2003,14,6,571,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,eed2427e,6.3,0,8,3,37.5,1.26,0.47,0.0,0.0,0,0,eed2427e,6.3,,,,,,,,,,,,,,,0,,,,,,eed2427e,6.3,,,,,,,,,,,,,,,,,,,,,eed2427e,6.3,,7,,,,,,,,,,,6,,,,eed2427e,Oscar Bobb__Fulham
Tyrique George,eng ENG,FW,Chelsea,19,2006,4,0,145,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,e6f7797e,1.6,0,3,2,66.7,1.86,1.24,0.0,0.0,0,0,e6f7797e,1.6,,,,,,,,,,,,,,,0,,,,,,e6f7797e,1.6,,,,,,,,,,,,,,,,,,,,,e6f7797e,1.6,,2,,,,,,,,,,,0,,,,e6f7797e,Tyrique George__Chelsea
Tyrique George,eng ENG,MF,Everton,19,2006,11,1,218,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,e6f7797e,2.4,0,7,3,42.9,2.89,1.24,0.0,0.0,0,0,e6f7797e,2.4,,,,,,,,,,,,,,,0,,,,,,e6f7797e,2.4,,,,,,,,,,,,,,,,,,,,,e6f7797e,2.4,,3,,,,,,,,,,,2,,,,e6f7797e,Tyrique George__Everton
