stint_id,Gls/90,Ast/90,Sh/90,SoT%,G/Sh,G/SoT,TklW/90,Int/90,TklWInt/90
Bashir Humphreys__Burnley,0.0,0.0,0.5142857142857142,33.3,0.0,0.0,0.9714285714285714,0.6285714285714286,1.6
Omari Hutchinson__Nottingham,0.05319148936170213,0.26595744680851063,1.3297872340425532,44.0,0.04,0.09,0.5851063829787234,0.5851063829787234,1.1702127659574468
Tim Iroegbunam__Everton,0.0,0.12121212121212122,0.7272727272727273,8.3,0.0,0.0,2.6666666666666665,1.3333333333333333,4.0
Alexander Isak__Liverpool,0.38461538461538464,0.12820512820512822,2.1794871794871797,35.3,0.18,0.5,0.7692307692307693,0.0,0.7692307692307693
Wilson Isidor__Sunderland,0.46511627906976744,0.0,3.333333333333333,39.5,0.14,0.35,0.6201550387596899,0.15503875968992248,0.7751937984496123
Alex Iwobi__Fulham,0.14869888475836432,0.11152416356877325,1.449814126394052,38.5,0.1,0.27,0.6691449814126395,0.5576208178438662,1.2267657992565058
Reece James__Chelsea,0.09174311926605504,0.18348623853211007,1.0091743119266054,31.8,0.09,0.29,1.5137614678899083,1.4678899082568806,2.981651376146789
Vitaly Janelt__Brentford,0.0625,0.25,0.75,25.0,0.08,0.33,1.0625,1.6875,2.75
Mathias Jensen__Brentford,0.12,0.04,1.16,27.6,0.1,0.38,0.92,0.84,1.76
Igor Jesus__Nottingham,0.23529411764705882,0.1568627450980392,2.7450980392156863,30.0,0.09,0.29,0.6274509803921569,0.0784313725490196,0.7058823529411765
Álex Jiménez__Bournemouth,0.038910505836575876,0.0,0.8171206225680934,19.0,0.05,0.25,1.7509727626459144,1.0505836575875487,2.8015564202334633
Raúl Jiménez__Fulham,0.37037037037037035,0.12345679012345678,3.0041152263374484,24.7,0.12,0.5,0.823045267489712,0.28806584362139914,1.1111111111111112
João Pedro__Chelsea,0.5067567567567567,0.16891891891891891,2.4662162162162162,38.4,0.21,0.54,0.5743243243243243,0.2027027027027027,0.777027027027027
