Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id,reason
Kepa Arrizabalaga,es ESP,GK,Arsenal,30,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,28d596a0,1.0,0,0,0,,0.0,0.0,,,0,0,28d596a0,1.0,,,,,,,,,,,,,,,0,,,,,,28d596a0,1.0,,,,,,,,,,,,,,,,,,,,,28d596a0,1.0,,0,,,,,,,,,,,0,,,,28d596a0,Kepa Arrizabalaga__Arsenal,below_600_min_threshold
Taiwo Awoniyi,ng NGA,FW,Nottingham,27,1997,17,3,494,5.5,4,1,5,4,0,0,2,0,0.73,0.18,0.91,0.73,0.91,e5478b87,5.5,4,15,8,53.3,2.73,1.46,0.27,0.5,0,0,e5478b87,5.5,,,,,,,,,,,,,,,1,,,,,,e5478b87,5.5,,,,,,,,,,,,,,,,,,,,,e5478b87,5.5,,1,,,,,,,,,,,1,,,,e5478b87,Taiwo Awoniyi__Nottingham,below_600_min_threshold
Benoît Badiashile,fr FRA,DF,Chelsea,24,2001,8,6,471,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,06df8256,5.2,0,0,0,,0.0,0.0,,,0,0,06df8256,5.2,,,,,,,,,,,,,,,0,,,,,,06df8256,5.2,,,,,,,,,,,,,,,,,,,,,06df8256,5.2,,5,,,,,,,,,,,9,,,,06df8256,Benoît Badiashile__Chelsea,below_600_min_threshold
Leon Bailey,jm JAM,MF,Aston Villa,27,1997,13,3,459,5.1,0,1,1,0,0,0,1,0,0.0,0.2,0.2,0.0,0.2,3a233281,5.1,0,8,1,12.5,1.57,0.2,0.0,0.0,0,0,3a233281,5.1,,,,,,,,,,,,,,,1,,,,,,3a233281,5.1,,,,,,,,,,,,,,,,,,,,,3a233281,5.1,,6,,,,,,,,,,,4,,,,3a233281,Leon Bailey__Aston Villa,below_600_min_threshold
Dilane Bakwa,fr FRA,MF,Nottingham,22,2002,14,6,553,6.1,0,2,2,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,2b5a35e5,6.1,0,9,3,33.3,1.46,0.49,0.0,0.0,0,0,2b5a35e5,6.1,,,,,,,,,,,,,,,2,,,,,,2b5a35e5,6.1,,,,,,,,,,,,,,,,,,,,,2b5a35e5,6.1,,3,,,,,,,,,,,0,,,,2b5a35e5,Dilane Bakwa__Nottingham,below_600_min_threshold
Ashley Barnes,eng ENG,FWMF,Burnley,35,1989,7,0,46,0.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,2691c772,0.5,0,2,1,50.0,3.91,1.96,0.0,0.0,0,0,2691c772,0.5,,,,,,,,,,,,,,,0,,,,,,2691c772,0.5,,,,,,,,,,,,,,,,,,,,,2691c772,0.5,,0,,,,,,,,,,,0,,,,2691c772,Ashley Barnes__Burnley,below_600_min_threshold
Altay Bayındır,tr TUR,GK,Manchester Utd,27,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,072e68ed,6.0,0,0,0,,0.0,0.0,,,0,0,072e68ed,6.0,,,,,,,,,,,,,,,0,,,,,,072e68ed,6.0,,,,,,,,,,,,,,,,,,,,,072e68ed,6.0,,0,,,,,,,,,,,0,,,,072e68ed,Altay Bayındır__Manchester Utd,below_600_min_threshold
Walter Benítez,ar ARG,GK,Crystal Palace,32,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8a2248b4,1.0,0,0,0,,0.0,0.0,,,0,0,8a2248b4,1.0,,,,,,,,,,,,,,,0,,,,,,8a2248b4,1.0,,,,,,,,,,,,,,,,,,,,,8a2248b4,1.0,,0,,,,,,,,,,,0,,,,8a2248b4,Walter Benítez__Crystal Palace,below_600_min_threshold
Daniel Bentley,eng ENG,GK,Wolves,32,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,68db6358,3.0,0,0,0,,0.0,0.0,,,0,0,68db6358,3.0,,,,,,,,,,,,,,,0,,,,,,68db6358,3.0,,,,,,,,,,,,,,,,,,,,,68db6358,3.0,,0,,,,,,,,,,,0,,,,68db6358,Daniel Bentley__Wolves,below_600_min_threshold
Marco Bizot,nl NED,GK,Aston Villa,34,1991,7,6,585,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,3d214e5f,6.5,0,0,0,,0.0,0.0,,,0,0,3d214e5f,6.5,,,,,,,,,,,,,,,0,,,,,,3d214e5f,6.5,,,,,,,,,,,,,,,,,,,,,3d214e5f,6.5,,0,,,,,,,,,,,0,,,,3d214e5f,Marco Bizot__Aston Villa,below_600_min_threshold
